Colonizer,Colony,Latitude_Colony,Longitude_Colony,Latitude_Colonizer,Longitude_Colonizer,Language_Colony,Family_Colony,Language_Colonizer,Family_Colonizer
Spain*,Morocco,31.791702,-7.09262,40.463667,-3.74922,arabic, Afro-Asiatic,spanish, Indo-European
Spain*,Cuba,21.521757,-77.781167,40.463667,-3.74922,spanish, Indo-European,spanish, Indo-European
Spain*,United States of America*,37.09024,-95.712891,40.463667,-3.74922,english, Indo-European,spanish, Indo-European
Spain*,Philippines,12.879721,121.774017,40.463667,-3.74922,tagalog, Austronesian ,spanish, Indo-European
Spain*,Palau,7.51498,134.58252,40.463667,-3.74922,palauan, Austronesian,spanish, Indo-European
Spain*,Northern Mariana Islands*,17.33083,145.38469,40.463667,-3.74922,carolinian, Austronesian,spanish, Indo-European
Spain*,Marshall Islands,7.131474,171.184478,40.463667,-3.74922,marshallese, Austronesian,spanish, Indo-European
Spain*,Algeria,28.033886,1.659626,40.463667,-3.74922,arabic, Afro-Asiatic,spanish, Indo-European
Spain*,Algeria,28.033886,1.659626,40.463667,-3.74922,french, Indo-European,spanish, Indo-European
Spain*,Tunisia,33.886917,9.537499,40.463667,-3.74922,arabic, Afro-Asiatic,spanish, Indo-European
Spain*,Libya,26.3351,17.228331,40.463667,-3.74922,arabic, Afro-Asiatic,spanish, Indo-European
Spain*,Western Sahara,24.215527,-12.885834,40.463667,-3.74922,arabic, Afro-Asiatic,spanish, Indo-European
Spain*,Italy,41.87194,12.56738,40.463667,-3.74922,italian, Indo-European,spanish, Indo-European
Spain*,Peru,-9.189967,-75.015152,40.463667,-3.74922,spanish, Indo-European,spanish, Indo-European
Spain*,Chile,-35.675147,-71.542969,40.463667,-3.74922,spanish, Indo-European,spanish, Indo-European
Spain*,Brazil,-14.235004,-51.92528,40.463667,-3.74922,portuguese, Indo-European,spanish, Indo-European
Spain*,Argentina,-38.416097,-63.616672,40.463667,-3.74922,spanish, Indo-European,spanish, Indo-European
Spain*,Equatorial Guinea,1.650801,10.267895,40.463667,-3.74922,spanish, Indo-European,spanish, Indo-European
Spain*,Colombia,4.570868,-74.297333,40.463667,-3.74922,spanish, Indo-European,spanish, Indo-European
Spain*,Mexico,23.634501,-102.552784,40.463667,-3.74922,spanish, Indo-European,spanish, Indo-European
Spain*,Dominican Republic,18.735693,-70.162651,40.463667,-3.74922,spanish, Indo-European,spanish, Indo-European
Spain*,Puerto Rico*,18.220833,-66.590149,40.463667,-3.74922,spanish, Indo-European,spanish, Indo-European
Spain*,Puerto Rico*,18.220833,-66.590149,40.463667,-3.74922,english, Indo-European,spanish, Indo-European
Spain*,Indonesia,-0.789275,113.921327,40.463667,-3.74922,indonesian, Austronesian,spanish, Indo-European
Spain*,Brunei Darussalam,4.535277,114.727669,40.463667,-3.74922,malay, Austronesian,spanish, Indo-European
Austria,Bosnia and Herzegovina,43.915886,17.679076,47.516231,14.550072,bosnian, Indo-European,german, Indo-European
Austria,Bosnia and Herzegovina,43.915886,17.679076,47.516231,14.550072,serbian, Indo-European,german, Indo-European
Austria,China*,35.86166,104.195397,47.516231,14.550072,mandarin, Sino-Tibetan,german, Indo-European
Austria,Belgium,50.503887,4.469936,47.516231,14.550072,dutch, Indo-European,german, Indo-European
Austria,Belgium,50.503887,4.469936,47.516231,14.550072,french, Indo-European,german, Indo-European
Austria,India,20.593684,78.96288,47.516231,14.550072,hindi, Indo-European ,german, Indo-European
